# code<TAB>method<TAB>characters; membership only, not ranking
ki	cantonese	己技奇既記機基紀幾覬忌肌寄畸箕騎譏羈碁杞妓姬驥璣饑几磯畿嘰萁乩埼
kik	cantonese	棘𠽤撠虢
kim	cantonese	兼檢儉劍鉗拑箝蒹撿黔鈐
kin	cantonese	件建見堅健鍵肩乾虔蹇腱掮毽墘
king	cantonese	勁經竟競驚警景傾矜敬徑京荊兢境憬擎璟鯨琼逕涇痙瓊頃黥滰擏
kip	cantonese	劫澀硤
kit	cantonese	結潔傑頡揭杰竭歇鍥拮詰訐蝎蠍羯桀愒孑挈擷黠㓤碣謁楬
kiu	cantonese	叫竅橋驕矯翹繳喬僑嬌蹺繞撬轎蹻繑蕎
ko	cantonese	個高告箇歌稿哥篙羔膏糕睪誥槁鋯皋
koh	cantonese	個箇歌哥
koi	cantonese	該改蓋概慨溉鈣丐愾磕
kok	cantonese	覺確各榷擱角閣涸廓郝慤壑玨恪桷确
kon	cantonese	趕幹乾肝干桿杆竿稈榦赶
kong	cantonese	港剛講狂抗江綱鋼擴降曠礦鑛崗伉亢獷鄺岡缸肛罡炕扛
koo	cantonese	估故固鼓股顧僱孤古辜姑沽蠱錮箍菇雇鴣菰咕牯罟鈷蛄酤
kooi	cantonese	繪潰膾儈賄獪劊檜鄶
koon	cantonese	觀管官冠貫灌罐館棺莞倌鸛
koot	cantonese	括豁
kot	cantonese	割轕葛噶
kuen	cantonese	權拳顴蜷鬈
kuet	cantonese	缺決抉訣蹶獗闋厥闕炔玦孓蕨橛譎
kui	cantonese	據具舉懼巨拒俱驅軀居區佢距矩渠嶇車句拘鉅据倨踞炬駒鋸櫸蒟颶齲瞿莒蟝佝衢袪祛
kuk	cantonese	曲局谷侷菊焗穀鵠掬鞠跼麴蛐
kum	cantonese	今感禁敢金錦襟衾琴甘柑淦禽擒咁
kung	cantonese	功公共工供攻拱弓貢躬窮鞏恭穹宮龔槓蚣芎
kut	cantonese	括豁蛞聒
kwa	cantonese	誇跨胯垮褂袴夸侉姱
kwaang	cantonese	框逛眶筐哐䆲梗
kwai	cantonese	規貴季攜虧悸愧餽饋窺鬼軌桂葵睽跪盔瑰閨櫃歸簣皈龜鮭硅圭揆癸暌逵馗畦珪携
kwan	cantonese	君困均軍窘群關菌鈞坤裙滾睏綑捆棍郡昆筠羣崑琨焜錕堃鰥袞
kwik	cantonese	隙虢
kwo	cantonese	過果戈裹
kwoh	cantonese	郝壑
kwok	cantonese	國郭幗廓蟈漷擴
kwong	cantonese	光狂廣擴曠礦鄺鑛獷胱
la	cantonese	啦喇罅揦𠸎嘞旯𤶸
laai	cantonese	拉賴籟癩瀨舐𦧺奶孻剌
laak	cantonese	勒嘞肋
laam	cantonese	覽婪濫藍籃艦檻攬襤欖纜嵐腩
laan	cantonese	懶攔欄爛瀾闌蘭躝讕斕難𧕴赧
laang	cantonese	冷唥啷
laap	cantonese	立垃臘蠟邋鱲擸䁽𥅈
laat	cantonese	辣邋瘌鬎迾焫
laau	cantonese	撈錨
lai	cantonese	例拉厲勵禮麗儷黎嚟賴礪荔犁籟癩蠣瀨澧藜利戾捩醴矋蠡栃
lak	cantonese	叻勒嘞肋簕扐㪐
lam	cantonese	臨林諗淋琳霖凜廩冧醂覽濫婪檻藍籃艦攬襤欖纜嵐舔舐碄
lan	cantonese	撚懶攔欄爛瀾闌蘭𠹌𨶙
lang	cantonese	掕唥𠹌
lap	cantonese	立垃笠粒臘蠟邋凹𣲷
lat	cantonese	甩
lau	cantonese	流留陋漏劉樓縷瀏柳溜榴瘤琉褸硫遛嘍騮蹓螻髏僂婁鏤霤鎏餾摟
le	cantonese	哩
lee	cantonese	理利李你您妳履餌膩里俐俚哩厘浬離璃梨莉喱蒞罹釐鯉籬娌痢狸吏
leh	cantonese	哩呢咧
lei	cantonese	你您妳理利李里呢妮俐俚尼吏哩浬洱狸梨莉脷喱厲蒞餌履璃離罹膩彌釐犛瀰霾厘鋰漓籬鯉娌蜊痢匿𢃇縭邐鬁
lek	cantonese	叻
lem	cantonese	舔舐
leng	cantonese	靚嶺鯪領𡃁僆零靈
leuh	cantonese	𦧲
leuk	cantonese	略掠
leung	cantonese	良量兩亮倆梁樑涼諒輛糧両娘粱踉魎
leur	cantonese	𦧲
li	cantonese	離璃鋰罹釐漓彌瀰霾籬李驪
lik	cantonese	力歷曆瀝靂礫暱嚦壢櫪扐匿溺
lim	cantonese	廉斂臉殮簾鐮濂帘舐歛瞼瀲
lin	cantonese	連練憐煉鍊蓮漣鏈槤攆僆𢆡璉鰱摙
ling	cantonese	另令零〇領靈聆伶玲齡凌鈴嶺軨羚稜陵菱囹佞呤苓寧檸擰翎楞愣綾掕拎棱櫺鴒輘
lip	cantonese	獵聶𨋢躐躡囁鑷鎳臬擸鬣
lit	cantonese	列烈裂捩咧冽洌迾
liu	cantonese	料了聊繚瞭鳥尿寥療僚遼撩潦廖寮燎嘹鐐獠鷯溜嫋
lo	cantonese	露老路勞牢賂潦佬撈嘮虜擄爐顱蘆廬盧癆滷鹵囉驢魯嚕櫓鷺髏璐姥奴努怒鱸潞蟧鑪臚醪
loh	cantonese	羅攞邏鑼裸蘿籮簍囉嚕螺儸𤓓
loi	cantonese	來萊徠睞耒賚
lok	cantonese	落樂烙洛絡諾貉骼駱酪胳犖珞咯鉻
long	cantonese	朗浪郎狼廊晾鎯瑯榔啷螂塱囊鋃琅稂莨烺襠閬蒗𠺘踉
lu	cantonese	嚕
luen	cantonese	聯亂戀孿巒攣鑾鸞孌臠鬈
luet	cantonese	劣捋埒
